station_name X Y Z dish_dia el_low el_high SEFD altitude
DA42 2225109.989473479 -5440002.41158589 -2481782.6299463683 12.0 15.0 85.0 110.0 5000.0
DA44 2224896.299856278 -5439906.95984995 -2482190.3015945693 12.0 15.0 85.0 110.0 5000.0
DA45 2224774.742333874 -5440235.547087352 -2481577.8150681113 12.0 15.0 85.0 110.0 5000.0
DA46 2225029.594134297 -5440081.846953956 -2481682.2749162577 12.0 15.0 85.0 110.0 5000.0
DA47 2225176.6560988994 -5439964.246042625 -2481800.7255160515 12.0 15.0 85.0 110.0 5000.0
DA48 2225193.449076947 -5439993.763759376 -2481722.540369683 12.0 15.0 85.0 110.0 5000.0
DA49 2225085.7610500273 -5440062.100142421 -2481674.237401864 12.0 15.0 85.0 110.0 5000.0
DA51 2225053.2295916714 -5440093.365949685 -2481635.6300628628 12.0 15.0 85.0 110.0 5000.0
DA52 2225011.3165638326 -5440147.990505898 -2481558.052550918 12.0 15.0 85.0 110.0 5000.0
DA53 2225199.428662699 -5440058.588097243 -2481571.9981645904 12.0 15.0 85.0 110.0 5000.0
DA54 2225122.700375541 -5439951.132033408 -2481886.4801792963 12.0 15.0 85.0 110.0 5000.0
DA55 2224943.169036646 -5440088.853251059 -2481748.5816626567 12.0 15.0 85.0 110.0 5000.0
DA57 2225505.357958118 -5440025.426744439 -2481355.5669861515 12.0 15.0 85.0 110.0 5000.0
DA58 2224585.553649216 -5440348.8090939475 -2481491.676949162 12.0 15.0 85.0 110.0 5000.0
DA59 2225070.073516246 -5440067.184756366 -2481677.1322630476 12.0 15.0 85.0 110.0 5000.0
DA60 2225045.0521468413 -5439869.957791271 -2482140.6276199436 12.0 15.0 85.0 110.0 5000.0
DA61 2225119.130137424 -5440069.216809779 -2481628.005076454 12.0 15.0 85.0 110.0 5000.0
DA62 2224962.9869048772 -5440337.7275637565 -2481190.2092930847 12.0 15.0 85.0 110.0 5000.0
DA63 2224619.0558740348 -5440204.4569543 -2481770.138824196 12.0 15.0 85.0 110.0 5000.0
DA64 2225113.8956992174 -5440088.809899935 -2481588.446060245 12.0 15.0 85.0 110.0 5000.0
DA65 2225450.178554466 -5439794.976468741 -2481913.7386948573 12.0 15.0 85.0 110.0 5000.0
DV01 2224798.8394220737 -5440161.301464267 -2481726.015468471 12.0 15.0 85.0 110.0 5000.0
DV03 2224825.6856489736 -5439918.560322917 -2482224.387888815 12.0 15.0 85.0 110.0 5000.0
DV05 2225375.652159041 -5440111.88464281 -2481291.795698173 12.0 15.0 85.0 110.0 5000.0
DV06 2224943.672888431 -5439974.238234731 -2482014.2898828215 12.0 15.0 85.0 110.0 5000.0
DV07 2225078.2504411438 -5440185.641466521 -2481414.9496900984 12.0 15.0 85.0 110.0 5000.0
DV08 2224906.7650574045 -5440173.236982853 -2481599.343146239 12.0 15.0 85.0 110.0 5000.0
DV09 2224781.2984020417 -5440342.022732234 -2481336.1018840116 12.0 15.0 85.0 110.0 5000.0
DV10 2225488.559188759 -5439872.87885487 -2481699.2443655957 12.0 15.0 85.0 110.0 5000.0
DV11 2225072.244558814 -5440148.428311403 -2481498.974546829 12.0 15.0 85.0 110.0 5000.0
DV12 2225180.8952427516 -5440025.864009418 -2481662.779299345 12.0 15.0 85.0 110.0 5000.0
DV13 2224980.921767794 -5440130.824365645 -2481620.870342128 12.0 15.0 85.0 110.0 5000.0
DV14 2225196.574004092 -5439865.58979537 -2482003.1716154437 12.0 15.0 85.0 110.0 5000.0
DV15 2225119.374147806 -5440042.851398915 -2481684.9430195526 12.0 15.0 85.0 110.0 5000.0
DV16 2225569.048738771 -5439979.425228103 -2481387.230439819 12.0 15.0 85.0 110.0 5000.0
DV17 2224948.4188271156 -5440039.642993553 -2481852.4295521905 12.0 15.0 85.0 110.0 5000.0
DV18 2225099.2820582553 -5440075.028504224 -2481631.748198071 12.0 15.0 85.0 110.0 5000.0
DV19 2224759.1696128626 -5440069.469635243 -2481944.571375765 12.0 15.0 85.0 110.0 5000.0
DV20 2225188.116015013 -5440189.905930498 -2481301.78027642 12.0 15.0 85.0 110.0 5000.0
DV22 2224910.4924317235 -5440129.391221618 -2481688.8908666936 12.0 15.0 85.0 110.0 5000.0
DV23 2225090.6941419514 -5440083.259876463 -2481622.4454760603 12.0 15.0 85.0 110.0 5000.0
DV24 2225255.2593373614 -5440008.985981887 -2481623.3515939456 12.0 15.0 85.0 110.0 5000.0
DV25 2225269.6688928693 -5439908.283014778 -2481832.2030436276 12.0 15.0 85.0 110.0 5000.0
DA41 2225094.796410677 -5440052.4214026695 -2481687.277070866 12.0 15.0 85.0 110.0 5000.0
DA43 2224863.8736093044 -5440088.01130747 -2481814.5310740704 12.0 15.0 85.0 110.0 5000.0
DA56 2225270.7344897357 -5440073.086053659 -2481471.418704094 12.0 15.0 85.0 110.0 5000.0
DV04 2225027.118319225 -5439962.75987201 -2481958.27582891 12.0 15.0 85.0 110.0 5000.0
