station_name X Y Z dish_dia el_low el_high SEFD altitude
DA45 2224774.742333874 -5440235.547087352 -2481577.8150681113 12.0 15.0 85.0 110.0 5000.0
DA57 2225505.357958118 -5440025.426744439 -2481355.5669861515 12.0 15.0 85.0 110.0 5000.0
DA58 2224585.553649216 -5440348.8090939475 -2481491.676949162 12.0 15.0 85.0 110.0 5000.0
DA61 2225119.130137424 -5440069.216809779 -2481628.005076454 12.0 15.0 85.0 110.0 5000.0
DA62 2224962.9869048772 -5440337.7275637565 -2481190.2092930847 12.0 15.0 85.0 110.0 5000.0
DV14 2225196.574004092 -5439865.58979537 -2482003.1716154437 12.0 15.0 85.0 110.0 5000.0
DV20 2225188.116015013 -5440189.905930498 -2481301.78027642 12.0 15.0 85.0 110.0 5000.0
DV25 2225269.6688928693 -5439908.283014778 -2481832.2030436276 12.0 15.0 85.0 110.0 5000.0
DA41 2225147.9471345404 -5439675.035508215 -2482445.480510083 12.0 15.0 85.0 110.0 5000.0
DA42 2225279.5824814443 -5439469.356358952 -2482833.131541281 12.0 15.0 85.0 110.0 5000.0
DA43 2224801.833373035 -5439786.464837801 -2482539.2523911325 12.0 15.0 85.0 110.0 5000.0
DA44 2224236.1764493277 -5439969.731673442 -2482606.25830429 12.0 15.0 85.0 110.0 5000.0
DA46 2226329.779227636 -5440032.868214295 -2480531.344056314 12.0 15.0 85.0 110.0 5000.0
DA48 2224116.1492147627 -5442159.477771389 -2477930.4466035836 12.0 15.0 85.0 110.0 5000.0
DA49 2224469.6015152894 -5440842.525282935 -2480524.656710071 12.0 15.0 85.0 110.0 5000.0
DA50 2225718.601321345 -5439808.037381139 -2481613.9356131246 12.0 15.0 85.0 110.0 5000.0
DA51 2225714.6304718265 -5440369.467377985 -2480423.2401584107 12.0 15.0 85.0 110.0 5000.0
DA54 2219253.6374969133 -5442894.20313703 -2479851.6082130144 12.0 15.0 85.0 110.0 5000.0
DA55 2226163.0386222983 -5439682.716178967 -2481421.9809546075 12.0 15.0 85.0 110.0 5000.0
DA60 2226265.1874913964 -5438432.8250348745 -2484137.882763216 12.0 15.0 85.0 110.0 5000.0
DA63 2227320.318724831 -5436658.137354828 -2486450.5872648633 12.0 15.0 85.0 110.0 5000.0
DA64 2229254.5185322375 -5440457.759733018 -2476683.550966725 12.0 15.0 85.0 110.0 5000.0
DA65 2227504.6268064664 -5439905.323708629 -2479594.884794959 12.0 15.0 85.0 110.0 5000.0
DV01 2225669.040336414 -5439445.5285974 -2482517.526351266 12.0 15.0 85.0 110.0 5000.0
DV02 2225434.8114333632 -5439701.864547103 -2482133.2878505294 12.0 15.0 85.0 110.0 5000.0
DV04 2229234.1408866644 -5440047.53818713 -2477588.720514617 12.0 15.0 85.0 110.0 5000.0
DV07 2225871.283887335 -5439985.174855396 -2481088.601823101 12.0 15.0 85.0 110.0 5000.0
DV09 2225117.8084925353 -5440052.280898753 -2481665.800592162 12.0 15.0 85.0 110.0 5000.0
DV10 2226186.007603583 -5439426.099497582 -2482003.419656654 12.0 15.0 85.0 110.0 5000.0
DV11 2224148.9899731167 -5440731.571160822 -2481004.969530935 12.0 15.0 85.0 110.0 5000.0
DV15 2223501.90132862 -5440635.378426675 -2481765.5621545874 12.0 15.0 85.0 110.0 5000.0
DV17 2222794.7971751336 -5441831.645618227 -2479695.831621955 12.0 15.0 85.0 110.0 5000.0
DV22 2224521.0003331313 -5441793.946069272 -2478423.7531030355 12.0 15.0 85.0 110.0 5000.0
DV23 2224986.5523870494 -5440968.640584948 -2479799.6165539166 12.0 15.0 85.0 110.0 5000.0
DV24 2225376.5008288464 -5439991.418645223 -2481543.2338486966 12.0 15.0 85.0 110.0 5000.0
PM01 2224781.4739865907 -5440342.448284232 -2481336.297804828 12.0 15.0 85.0 110.0 5000.0
PM02 2225523.3150130697 -5440197.665209388 -2480975.2683623796 12.0 15.0 85.0 110.0 5000.0
PM03 2226201.2824135944 -5439135.836076639 -2482771.544715866 12.0 15.0 85.0 110.0 5000.0
PM04 2223832.076203972 -5440054.889994776 -2482719.9038238972 12.0 15.0 85.0 110.0 5000.0
