station_name X Y Z dish_dia el_low el_high SEFD altitude
dsa-0 -2409284.796076235 -4477897.001482909 3839349.516402577 5.0 15.0 85.0 110.0 5000.0
dsa-1 -2402874.045425513 -4478546.685597342 3842592.8262383 5.0 15.0 85.0 110.0 5000.0
dsa-2 -2402788.5337904627 -4478813.0206654025 3842337.5757839587 5.0 15.0 85.0 110.0 5000.0
dsa-3 -2402628.8354786215 -4479031.989041569 3842183.4424759066 5.0 15.0 85.0 110.0 5000.0
dsa-4 -2402844.1261701738 -4478834.654119695 3842277.86113257 5.0 15.0 85.0 110.0 5000.0
dsa-5 -2403039.266053143 -4479009.877189364 3841953.228003497 5.0 15.0 85.0 110.0 5000.0
dsa-6 -2402888.290301261 -4479400.818045128 3841594.4258242175 5.0 15.0 85.0 110.0 5000.0
dsa-7 -2403451.537434345 -4482023.783243182 3838204.608093308 5.0 15.0 85.0 110.0 5000.0
dsa-8 -2403337.860482795 -4482114.595880065 3838170.258304983 5.0 15.0 85.0 110.0 5000.0
dsa-9 -2403314.037323655 -4481854.7517990265 3838486.1398995086 5.0 15.0 85.0 110.0 5000.0
dsa-10 -2403431.1566393664 -4481710.897949326 3838579.792770622 5.0 15.0 85.0 110.0 5000.0
dsa-11 -2403313.220848176 -4481426.210462501 3838983.1183812036 5.0 15.0 85.0 110.0 5000.0
dsa-12 -2403430.170774964 -4481590.619915054 3838719.7506253985 5.0 15.0 85.0 110.0 5000.0
dsa-13 -2403637.3610732146 -4481382.797318034 3838831.368532364 5.0 15.0 85.0 110.0 5000.0
dsa-14 -2402627.9099582564 -4481320.054909856 3839533.271496999 5.0 15.0 85.0 110.0 5000.0
dsa-15 -2403056.7493459056 -4481446.989790543 3839118.9101917483 5.0 15.0 85.0 110.0 5000.0
dsa-16 -2403176.8987977304 -4481363.008650122 3839141.3111554487 5.0 15.0 85.0 110.0 5000.0
dsa-17 -2403341.491136013 -4481268.790466455 3839147.8695156444 5.0 15.0 85.0 110.0 5000.0
dsa-18 -2403166.4249700313 -4481110.717393323 3839440.1217648783 5.0 15.0 85.0 110.0 5000.0
dsa-19 -2403141.864490195 -4481023.848234522 3839556.069719935 5.0 15.0 85.0 110.0 5000.0
dsa-20 -2403052.543820162 -4480766.971430146 3839909.3398729055 5.0 15.0 85.0 110.0 5000.0
dsa-21 -2402753.4010103266 -4480779.303194127 3840081.516329121 5.0 15.0 85.0 110.0 5000.0
dsa-22 -2403264.184552282 -4480896.348705245 3839627.5341916597 5.0 15.0 85.0 110.0 5000.0
dsa-23 -2403446.546268435 -4481028.778007773 3839360.4430223615 5.0 15.0 85.0 110.0 5000.0
dsa-24 -2403414.9286744143 -4480563.161732082 3839919.5722834263 5.0 15.0 85.0 110.0 5000.0
dsa-25 -2403444.9687760235 -4480513.498714599 3839958.3826805507 5.0 15.0 85.0 110.0 5000.0
dsa-26 -2403186.1906470936 -4480606.335559421 3840012.132891691 5.0 15.0 85.0 110.0 5000.0
dsa-27 -2403472.572885072 -4479975.494884641 3840564.4593523378 5.0 15.0 85.0 110.0 5000.0
dsa-28 -2403149.6253540767 -4479943.1439713305 3840803.2392075933 5.0 15.0 85.0 110.0 5000.0
dsa-29 -2403305.1458141063 -4480148.055901716 3840468.9069699044 5.0 15.0 85.0 110.0 5000.0
