station_name X Y Z dish_dia el_low el_high SEFD altitude
A0001 -2036873.0950133202 -4485019.614454048 4040849.646525129 5.0 15.0 85.0 110.0 5000.0
A0002 -2036923.088640273 -4485088.449773746 4040745.7079743715 5.0 15.0 85.0 110.0 5000.0
A0003 -2037041.3313512846 -4484942.674794022 4040850.23223259 5.0 15.0 85.0 110.0 5000.0
A0004 -2036870.9263362228 -4485165.679521578 4040684.349688651 5.0 15.0 85.0 110.0 5000.0
A0005 -2037125.0749644714 -4484947.107582652 4040803.3991273595 5.0 15.0 85.0 110.0 5000.0
A0006 -2037152.5505664523 -4485102.602500191 4040612.1854783213 5.0 15.0 85.0 110.0 5000.0
A0007 -2036608.3389822901 -4485010.610211831 4040992.1250341395 5.0 15.0 85.0 110.0 5000.0
A0008 -2036780.3488697724 -4485291.002628826 4040590.265220371 5.0 15.0 85.0 110.0 5000.0
A0009 -2036556.259500596 -4484955.021992827 4041079.478375134 5.0 15.0 85.0 110.0 5000.0
A0010 -2036546.7620924138 -4485178.815286041 4040837.502581976 5.0 15.0 85.0 110.0 5000.0
A0011 -2037042.6077721138 -4484721.44769168 4041093.476575233 5.0 15.0 85.0 110.0 5000.0
A0012 -2036487.071754987 -4484991.68524367 4041073.6943038567 5.0 15.0 85.0 110.0 5000.0
A0013 -2036475.043552367 -4485006.009094238 4041063.924305535 5.0 15.0 85.0 110.0 5000.0
A0014 -2037334.825977256 -4485246.626818958 4040358.537757517 5.0 15.0 85.0 110.0 5000.0
A0015 -2037351.935960519 -4484610.6022082595 4041060.7706734156 5.0 15.0 85.0 110.0 5000.0
A0016 -2036681.96646318 -4484548.813767738 4041464.3193932576 5.0 15.0 85.0 110.0 5000.0
A0017 -2036960.4669813118 -4485487.330924009 4040279.8857267033 5.0 15.0 85.0 110.0 5000.0
A0018 -2036615.7155068538 -4485463.528901344 4040480.8884219425 5.0 15.0 85.0 110.0 5000.0
A0019 -2037354.5845055352 -4485284.202654791 4040307.197153963 5.0 15.0 85.0 110.0 5000.0
A0020 -2037049.65723908 -4484370.502214603 4041476.7789475303 5.0 15.0 85.0 110.0 5000.0
A0021 -2036355.3715665662 -4485351.528084625 4040738.61738674 5.0 15.0 85.0 110.0 5000.0
A0022 -2037001.2019728862 -4484396.081772326 4041472.845525888 5.0 15.0 85.0 110.0 5000.0
A0023 -2037430.2872156922 -4484648.0939980075 4040980.2030747593 5.0 15.0 85.0 110.0 5000.0
A0024 -2036501.7773243776 -4485520.869860524 4040474.4711699914 5.0 15.0 85.0 110.0 5000.0
A0025 -2037254.9443990146 -4484464.297855888 4041270.6099015856 5.0 15.0 85.0 110.0 5000.0
A0026 -2036430.2495135982 -4485504.421221204 4040529.226023337 5.0 15.0 85.0 110.0 5000.0
A0027 -2037119.688672591 -4484356.921244814 4041456.6845642882 5.0 15.0 85.0 110.0 5000.0
A0028 -2037591.9047673428 -4484885.222891547 4040632.403809563 5.0 15.0 85.0 110.0 5000.0
A0029 -2036193.4240695427 -4485147.496009787 4041048.903651382 5.0 15.0 85.0 110.0 5000.0
A0030 -2037591.4453933125 -4485148.608410196 4040337.817654521 5.0 15.0 85.0 110.0 5000.0
A0031 -2036487.1026801232 -4485596.00429244 4040397.793753389 5.0 15.0 85.0 110.0 5000.0
A0032 -2037650.618478651 -4484977.891595933 4040500.6733462005 5.0 15.0 85.0 110.0 5000.0
A0033 -2036312.4661892224 -4484694.16767921 4041489.0518229767 5.0 15.0 85.0 110.0 5000.0
A0034 -2036325.4646947046 -4484676.259480086 4041502.285334936 5.0 15.0 85.0 110.0 5000.0
A0035 -2037482.0533122637 -4484515.568189178 4041100.365205292 5.0 15.0 85.0 110.0 5000.0
A0036 -2037242.675206295 -4484401.365165741 4041346.1193037326 5.0 15.0 85.0 110.0 5000.0
A0037 -2037040.2768189209 -4485688.236178961 4040013.9645620533 5.0 15.0 85.0 110.0 5000.0
A0038 -2036185.6162969517 -4484798.7894243095 4041437.2160061942 5.0 15.0 85.0 110.0 5000.0
A0039 -2036519.7722031078 -4485715.633456555 4040248.347990937 5.0 15.0 85.0 110.0 5000.0
A0040 -2037564.3613489093 -4485365.900097818 4040108.1236325167 5.0 15.0 85.0 110.0 5000.0
A0041 -2037573.6384802884 -4485356.375296428 4040114.1394221485 5.0 15.0 85.0 110.0 5000.0
