station_name X Y Z dish_dia el_low el_high SEFD altitude
CS001HBA0LOFAR 3826896.235000 460979.455000 5064658.203000 31.3 15 90 3000.0 8.633259740441233
CS001HBA1LOFAR 3826979.384000 460897.597000 5064603.189000 31.3 15 90 3000.0 8.626256222626928
CS002HBA0LOFAR 3826600.961000 460953.402000 5064881.136000 31.3 15 90 3000.0 7.824119491220735
CS002HBA1LOFAR 3826565.594000 460958.110000 5064907.258000 31.3 15 90 3000.0 7.830319926851573
CS003HBA0LOFAR 3826471.348000 461000.138000 5064974.201000 31.3 15 90 3000.0 7.846970356513836
CS003HBA1LOFAR 3826517.812000 461035.258000 5064936.150000 31.3 15 90 3000.0 7.839002120181917
CS004HBA0LOFAR 3826585.626000 460865.844000 5064900.561000 31.3 15 90 3000.0 7.826724190082693
CS004HBA1LOFAR 3826579.486000 460917.480000 5064900.502000 31.3 15 90 3000.0 7.827144552587228
CS005HBA0LOFAR 3826701.160000 460989.250000 5064802.685000 31.3 15 90 3000.0 7.809989981308597
CS005HBA1LOFAR 3826631.194000 461021.815000 5064852.259000 31.3 15 90 3000.0 7.820338849816089
CS006HBA0LOFAR 3826653.783000 461136.440000 5064824.943000 31.3 15 90 3000.0 7.820391126231073
CS006HBA1LOFAR 3826612.499000 461080.298000 5064861.006000 31.3 15 90 3000.0 7.82479500244267
CS007HBA0LOFAR 3826478.715000 461083.720000 5064961.117000 31.3 15 90 3000.0 7.8476506384801255
CS007HBA1LOFAR 3826538.021000 461169.731000 5064908.827000 31.3 15 90 3000.0 7.840144202368336
CS011HBA0LOFAR 3826637.421000 461227.345000 5064829.134000 31.3 15 90 3000.0 7.927303175186488
CS011HBA1LOFAR 3826648.961000 461354.241000 5064809.003000 31.3 15 90 3000.0 7.934049410153428
CS013HBA0LOFAR 3826318.954000 460856.125000 5065101.850000 31.3 15 90 3000.0 8.072365586164452
CS013HBA1LOFAR 3826402.103000 460774.267000 5065046.836000 31.3 15 90 3000.0 8.055611269414136
CS017HBA0LOFAR 3826405.095000 461507.460000 5064978.083000 31.3 15 90 3000.0 7.8921170575816575
CS017HBA1LOFAR 3826499.783000 461552.498000 5064902.938000 31.3 15 90 3000.0 7.87873374331101
CS021HBA0LOFAR 3826463.502000 460533.094000 5065022.614000 31.3 15 90 3000.0 8.10602490927333
CS021HBA1LOFAR 3826368.813000 460488.057000 5065097.759000 31.3 15 90 3000.0 8.128032275046046
CS024HBA0LOFAR 3827218.193000 461403.898000 5064378.790000 31.3 15 90 3000.0 9.132925386759823
CS024HBA1LOFAR 3827123.504000 461358.861000 5064453.935000 31.3 15 90 3000.0 9.13001534561483
CS026HBA0LOFAR 3826418.227000 461805.837000 5064941.199000 31.3 15 90 3000.0 7.8783146516835885
CS026HBA1LOFAR 3826335.078000 461887.696000 5064996.213000 31.3 15 90 3000.0 7.9072293713377135
CS028HBA0LOFAR 3825573.134000 461324.607000 5065619.039000 31.3 15 90 3000.0 8.087452472743955
