station_name X Y Z dish_dia el_low el_high SEFD altitude
m000 5109271.497354163 2006808.8930278125 -3239130.7361407224 13.5 15.0 85.0 110.0 1000.0
m001 5109284.8540775385 2006824.2217235335 -3239100.126460417 13.5 15.0 85.0 110.0 1000.0
m002 5109272.199343496 2006783.5460499495 -3239145.330041681 13.5 15.0 85.0 110.0 1000.0
m003 5109294.928584987 2006755.5098540583 -3239126.2662496553 13.5 15.0 85.0 110.0 1000.0
m004 5109291.902149397 2006692.968027261 -3239169.9464134425 13.5 15.0 85.0 110.0 1000.0
m005 5109269.975114168 2006707.4932163078 -3239196.0734994877 13.5 15.0 85.0 110.0 1000.0
m006 5109233.717825731 2006783.3451926927 -3239206.815200422 13.5 15.0 85.0 110.0 1000.0
m007 5109209.263489414 2006697.0722830165 -3239299.3666825695 13.5 15.0 85.0 110.0 1000.0
m009 5109180.035241174 2006816.6101128524 -3239272.322421446 13.5 15.0 85.0 110.0 1000.0
m010 5109093.556556124 2006842.5269473032 -3239393.9238805193 13.5 15.0 85.0 110.0 1000.0
m011 5109170.180558709 2006868.2360954522 -3239256.0120625785 13.5 15.0 85.0 110.0 1000.0
m012 5109142.247324063 2006917.4373964376 -3239270.082551804 13.5 15.0 85.0 110.0 1000.0
m013 5109095.433207094 2007003.019458233 -3239292.0873116693 13.5 15.0 85.0 110.0 1000.0
m014 5109130.110479972 2007063.7807552442 -3239199.2244112855 13.5 15.0 85.0 110.0 1000.0
m015 5109186.746785172 2007010.792884813 -3239141.5084863324 13.5 15.0 85.0 110.0 1000.0
m016 5109174.267882786 2007089.171932136 -3239112.9348793244 13.5 15.0 85.0 110.0 1000.0
m018 5109212.230825102 2006908.0825780418 -3239164.3812462403 13.5 15.0 85.0 110.0 1000.0
m019 5109170.171972917 2006961.4613794305 -3239198.4921140065 13.5 15.0 85.0 110.0 1000.0
m020 5109190.13422423 2006890.0451633965 -3239210.7863867055 13.5 15.0 85.0 110.0 1000.0
m024 5109563.694316296 2006555.3870942453 -3238821.563143286 13.5 15.0 85.0 110.0 1000.0
m025 5109537.966349456 2006726.92364889 -3238756.7406908716 13.5 15.0 85.0 110.0 1000.0
m026 5109409.880855489 2006765.759243068 -3238936.9514141064 13.5 15.0 85.0 110.0 1000.0
m027 5109340.506869436 2006888.36185406 -3238971.927501068 13.5 15.0 85.0 110.0 1000.0
m028 5109343.517321744 2006791.0743168397 -3239026.9717298932 13.5 15.0 85.0 110.0 1000.0
m029 5109339.748209414 2006749.2162893391 -3239058.7645782907 13.5 15.0 85.0 110.0 1000.0
m030 5109357.505326976 2007035.5728449624 -3238853.8763383804 13.5 15.0 85.0 110.0 1000.0
m031 5109320.53511894 2007101.9368932561 -3238871.3346357504 13.5 15.0 85.0 110.0 1000.0
m032 5109280.818664529 2007317.0134066753 -3238800.99879004 13.5 15.0 85.0 110.0 1000.0
m033 5109561.4112404715 2007555.5082678997 -3238207.174220806 13.5 15.0 85.0 110.0 1000.0
m034 5109223.044799101 2007183.1621535402 -3238977.047467393 13.5 15.0 85.0 110.0 1000.0
m035 5109141.20538522 2007181.4666213135 -3239108.9062810717 13.5 15.0 85.0 110.0 1000.0
m036 5109088.628951989 2007163.0766857928 -3239203.630401321 13.5 15.0 85.0 110.0 1000.0
m037 5109012.51005451 2007124.6149117544 -3239349.23577353 13.5 15.0 85.0 110.0 1000.0
m038 5109021.194393137 2006948.6299424078 -3239443.4970667283 13.5 15.0 85.0 110.0 1000.0
