station_name X Y Z dish_dia el_low el_high SEFD altitude
W32 1640.02760601 -4329.92665085 -2416.70580433 25 15 85 110 5030
N24 -1660.49128127 -259.39960505 2454.41532549 25 15 85 110 5030
W20 733.34798474 -1932.98013829 -1078.10923116 25 15 85 110 5030
E24 765.21097819 2889.44852033 -1108.8777769 25 15 85 110 5030
N32 -2629.09218269 -410.65158466 3885.60273242 25 15 85 110 5030
E36 1534.56120139 5793.91275687 -2223.48335235 25 15 85 110 5030
N16 -801.39819671 -124.9731867 1182.11742906 25 15 85 110 5030
W8 152.75953072 -401.27175215 -223.40441888 25 15 85 110 5030
W28 1316.44807344 -3443.3076659 -1913.52714923 25 15 85 110 5030
W12 306.16781395 -804.58239024 -448.07786236 25 15 85 110 5030
W36 2000.06734992 -5299.79581739 -2962.89129891 25 15 85 110 5030
N28 -2091.44294913 -326.5939248 3089.41066984 25 15 85 110 5030
E32 1253.24728238 4733.61503622 -1816.91333411 25 15 85 110 5030
N36 -3217.58422497 -502.66947861 4756.12344895 25 15 85 110 5030
E28 998.66920939 3764.30678564 -1443.47495945 25 15 85 110 5030
N4 -74.82206165 -11.7550797 111.62669079 25 15 85 110 5030
E4 35.60493528 133.64967044 -51.10020632 25 15 85 110 5030
W4 46.92150279 -122.02228857 -67.60757152 25 15 85 110 5030
W16 499.83560566 -1317.9970782 -735.20513104 25 15 85 110 5030
N8 -243.60167375 -38.04616288 360.03532459 25 15 85 110 5030
E16 376.98962927 1440.98974937 -556.13018294 25 15 85 110 5030
E8 114.43465698 438.68781542 -169.49232339 25 15 85 110 5030
E20 560.1047806 2113.23643142 -810.69974416 25 15 85 110 5030
E12 229.46680179 879.59799397 -339.87292654 25 15 85 110 5030
N20 -1174.33720721 -183.30338162 1734.23854793 25 15 85 110 5030
N12 -489.30549429 -76.3090785 721.52284041 25 15 85 110 5030
W24 1005.42662888 -2642.99130871 -1472.20242709 25 15 85 110 5030
