station_name X Y Z dish_dia el_low el_high SEFD altitude
MKO -5464075.238656 -2495247.871441 2148297.485741 25 15 85 110 5030
OVRO -2409150.471188 -4478573.093114 3838617.326057 25 15 85 11900 3185
BR -2112065.261576 -3705356.502894 4726813.649034 25 15 85 560 4640
NL -130872.556729 -4762317.087045 4226850.993404 25 15 85 4900 4205
HC 1446374.806874 -4447939.68308 4322306.19968 25 15 85 2900 2850
KPN -1995678.891541 -5037317.693848 3357328.002045 25 15 85 1600 2550
PT -1640953.992891 -5014816.024485 3575411.772132 25 15 85 7300 2800
FD -1324009.374466 -5332181.952906 3231962.377936 25 15 85 4744 3210
LA -1449752.637707 -4975298.573645 3709123.828301 25 15 85 4744 3210
SC 2607848.664542 -5488069.500452 1932739.778597 25 15 85 4744 3210
